,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
0,0,38,1,0,1,0,101,30,11,11,68,6,1,1
1,54,28,1,0,1,0,101,30,11,11,65,6,1,0
2,332,48,1,0,1,0,101,30,11,11,64,6,1,0
3,1492,68,1,0,0,0,100,30,11,11,64,6,1,0
4,103,1207,61,0,13,1,1551,30,1616,1616,685,30,1,1
5,20,20,3,0,2,0,16,20,9,9,10,17,1,1
6,848,153,2,0,1,0,800,30,284,284,5,4,0,0
7,11,2,1,0,1,0,101,30,11,11,61,6,1,0
8,55,56,1,0,4,0,101,30,11,11,61,6,1,0
9,262,2,224,0,1,0,101,30,11,11,61,6,1,0
10,848,364,15,0,20,10,108,30,697,697,41,30,1,1
11,412,2,1,0,1,0,478,28,57,57,3,0,0,1
12,58,4,1,0,0,0,1429,30,1688,1688,24,14,0,1
13,294,28,2,0,2,0,448,13,186,186,25,7,1,0
14,0,2,1,0,1,0,413,30,9260,9260,18,-1,0,1
15,86,14,1,0,2,1,1551,30,1616,1616,684,30,1,1
16,364,112,1,0,21,12,55,20,49,49,15,3,1,1
17,337,43,3,0,1,0,1085,12,40,40,1,1,1,1
18,81,1654,30,-1,16,2,698,18,16,16,31,2,1,1
19,135,9,1,0,0,0,1353,30,4874,4874,1054,-1,0,1
20,0,6,1,0,0,0,455,30,3,3,17,1,1,1
21,246,16,3,0,0,0,1559,30,116,116,0,6,1,1
22,482,19,1,0,0,0,692,30,333,333,101,0,0,1
23,198,556,584,0,28,38,1116,30,1502,1502,346,-1,0,1
24,852,87,6,0,0,0,83,30,176,176,44,30,1,1
25,11,12,3,0,0,0,1786,30,668,668,36,0,0,1
26,45,8,2,0,1,0,383,30,61,61,72,24,1,1
27,241,4,1,0,0,69,1814,30,2962,2962,77,30,0,1
28,161,7,4,0,0,0,374,11,104,104,3,16,1,1
29,0,212,10,0,0,0,18,4,3,3,11,0,0,1
30,124,3,2,0,0,0,101,30,11,11,60,23,1,1
31,115,15,2,0,0,0,1003,25,291,291,9,30,1,1
32,0,212,10,0,0,0,18,4,3,3,11,0,0,1
33,236,7,2,0,5,337,1434,30,6559,6559,66,11,0,0
34,66,8,1,0,3,343,1428,30,6559,6559,66,30,0,0
35,0,8,1,0,0,0,1114,30,526,526,16,30,1,1
36,221,12,1,0,1,0,1612,9,79,79,6,30,1,1
37,106,3,1,0,2,0,543,30,739,739,1,30,1,1
38,241,12,1,0,10,1,745,30,444,444,48,7,0,0
39,149,30,4,0,0,0,188,0,317,317,34,30,0,1
40,37,2,1,0,0,0,543,30,739,739,0,30,1,1
41,395,21,2,0,2,0,101,30,11,11,60,23,1,1
42,0,6,1,0,3,0,1266,-1,39,39,44,25,0,0
43,75,64,13,0,4,0,1239,30,939,939,73,0,0,1
44,33,197,5,0,6,19,98,30,697,697,40,30,1,0
45,61,45,2,0,0,0,511,30,14,14,28,3,1,1
46,64,8,1,0,9,11,1677,30,541,541,21,13,0,1
47,132,77,1,0,1,5,1094,30,211,211,6,30,1,1
48,0,7,1,0,4,1,116,30,697,697,39,-1,0,0
49,220,53,2,0,0,0,882,30,227,227,100,30,1,1
50,782,46,1,0,25,137,63,30,1876,1876,35,19,0,0
51,145,57,1,0,9,6,111,30,697,697,38,-1,0,1
52,79,16,1,0,10,15,866,30,227,227,99,26,0,1
53,0,49,8,0,0,0,329,17,49,49,17,30,1,1
54,1349,818,3,0,0,0,304,30,43,43,19,0,0,1
55,61,2,1,0,1,0,933,30,1515,1515,77,24,0,1
56,167,55,8,0,0,3,2131,5,20,20,3,22,1,1
57,16,3,1,0,2,104,391,30,449,449,249,1,1,1
58,0,284,9,0,2,0,16,7,0,0,14,30,1,1
59,53,70,2,0,5,171,29,30,1876,1876,34,30,1,1
60,115,197,19,0,2,4,353,30,1165,1165,10,30,1,1
61,0,60,2,0,0,0,2506,1,1072,1072,43,30,1,1
62,44,10,1,0,0,0,1471,8,55,55,5,28,0,1
63,119,23,3,0,0,0,1471,8,55,55,2,28,0,1
64,253,54,6,0,0,0,1471,8,55,55,2,28,0,1
65,582,83,7,0,0,0,1471,8,55,55,2,28,0,1
66,62,6564,146,0,12,1,1898,30,30,30,124,12,1,1
67,20,2,1,0,4,91,632,30,215,215,155,30,1,0
68,210,2065,3,0,2,0,1900,30,3249,3249,549,30,1,1
69,0,5,1,0,0,0,41,30,17,17,22,22,1,1
70,0,85,2,0,6,1,1640,30,1291,1291,8,29,0,1
71,57,7,1,0,13,4,2111,30,372,372,46,30,1,1
72,0,314,6,0,1,0,385,30,10,10,5,30,1,1
73,0,5991,41,0,2,8,102,2,7,7,5,4,1,1
74,125,7,2,0,0,0,1367,26,72,72,30,30,1,1
75,0,2,1,0,1,88,407,30,449,449,248,1,1,1
76,170,1,1,0,1,0,1450,30,5885,5885,74,25,0,0
77,0,18,4,0,0,0,717,30,130,130,3,4,0,1
78,20,79,6,0,0,0,358,30,1165,1165,9,30,1,1
79,70,28,2,0,1,4,353,30,1165,1165,8,9,0,0
80,35,14,1,0,2,123,239,3,5,5,5,-1,0,0
81,1387,341,1,0,2,2,39,30,17,17,21,0,0,1
82,73,67,3,0,2,51,966,30,397,397,11,6,1,1
83,80,333,2,0,0,0,835,30,1663,1663,14,30,1,1
84,790,240,2,0,5,619,215,30,1663,1663,13,1,1,0
