,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
246,129,73,4,0,0,0,230,30,8,8,0,1,1,1
247,291,0,3,0,5,1,1074,30,172,172,615,0,0,1
248,146,2,1,0,0,0,635,30,2647,2647,282,6,1,1
249,396,78,4,0,6,0,1897,30,30,30,125,30,1,1
250,146,8,1,0,2,1,367,30,59,59,11,29,0,1
251,0,232,18,0,0,0,852,3,9,9,24,30,1,1
252,235,3,1,0,1,1,111,30,110,110,129,0,0,1
253,0,31,2,0,6,1,1136,30,4774,4774,111,15,1,1
254,218,16,1,0,0,0,463,30,40,40,34,30,1,1
255,422,2308,76,0,22,6,526,30,391,391,13,30,1,1
256,35,20,1,0,1,0,128,2,2,2,0,1,0,1
257,10,4,2,0,0,3,529,30,391,391,11,30,1,1
258,0,1,1,0,0,0,169,30,19,19,24,6,0,1
259,0,3,1,0,5,519,13,30,391,391,10,30,0,0
260,40,28,3,0,7,527,5,30,391,391,9,7,0,0
261,334,4,1,0,1,2,594,25,25,25,51,-1,0,1
262,117,3,1,0,1,1,595,25,25,25,50,30,1,1
263,33,19,4,0,1,85,447,30,391,391,8,21,0,0
264,41,67,3,0,1,0,96,16,38,38,3,7,1,1
265,68,131,3,0,4,529,3,30,391,391,7,30,0,0
266,67,28,3,0,3,54,478,30,391,391,6,30,0,0
267,76,209,3,0,1,529,3,30,391,391,5,30,0,0
268,113,9,2,0,6,400,132,30,391,391,4,13,0,0
269,69,19,4,0,3,441,91,30,391,391,3,0,0,0
270,252,27,5,0,1,0,503,30,219,219,57,30,1,1
271,746,1987,6,0,0,0,1075,30,172,172,615,12,0,1
272,0,128,5,0,4,0,174,10,7,7,6,6,1,1
273,1105,138,4,0,7,1,1074,30,172,172,614,12,1,1
274,0,2,1,0,0,0,1423,30,2645,2645,36,9,0,1
275,0,185,1,0,0,0,352,18,9,9,5,30,1,1
276,93,52,4,0,0,0,1127,29,153,153,225,13,1,1
277,0,1,1,0,1,0,1912,30,25,25,99,30,1,0
278,0,12,1,0,0,7,132,12,787,787,37,3,0,1
279,0,36,6,0,3,9,2041,30,20802,20802,222,14,1,0
280,6,15,1,0,1,0,1295,13,50,50,16,25,1,1
281,6,15,1,0,1,0,1295,13,50,50,15,25,1,1
282,172,13,4,0,12,295,697,30,3831,3831,35,17,1,0
283,131,36,1,0,4,0,440,30,361,361,17,30,1,1
284,155,7,1,0,2,0,440,30,361,361,16,30,1,1
285,54,4,1,0,0,2,1090,19,154,154,59,19,1,1
286,1330,472,59,0,1,1,1658,30,8217,8217,2296,30,0,1
287,165,2,1,0,4,0,526,30,148,148,20,30,0,1
288,30,11,1,0,0,2,347,30,125,125,10,30,1,1
289,1789,313,11,0,3,1,825,30,556,556,771,19,1,1
290,222,24,4,0,4,0,826,30,556,556,771,2,0,1
291,978,324,3,0,5,0,826,30,556,556,771,2,0,1
292,90,4,2,0,0,0,826,30,556,556,771,30,1,1
293,755,624,15,0,10,4,1394,30,916,916,255,30,1,1
294,104,7,3,0,0,0,327,28,3,3,31,16,1,1
295,40,3,1,0,1,0,452,30,5,5,7,30,1,1
296,105,9627,280,0,2,0,1698,30,5405,5405,111,30,1,1
297,52,1,1,0,0,4,787,30,849,849,17,-1,0,1
298,422,2,1,0,1,0,99,30,159,159,137,0,0,1
299,117,0,0,0,2,0,496,30,197,197,23,-1,0,1
300,469,5,1,0,1,1,97,30,159,159,136,0,1,0
301,88,6,1,0,0,3,96,30,159,159,135,0,1,1
302,0,2,1,0,1,7,92,30,159,159,134,2,1,0
303,126,28,1,0,0,10,89,30,159,159,133,8,0,1
304,111,4,2,0,1,0,138,30,18,18,34,2,1,1
305,704,4,1,0,1,4,601,5,77,77,11,30,1,0
306,0,4,1,0,1,43,562,5,77,77,10,-1,0,0
307,95,150,19,0,0,4,134,30,18,18,33,14,1,1
308,0,28,1,0,1,63,541,5,77,77,9,1,0,0
309,134,4,1,0,1,71,533,5,77,77,8,0,0,0
310,56,4,1,0,1,80,524,5,77,77,7,12,0,0
311,3,4,1,0,1,108,496,5,77,77,6,30,1,0
312,141,767,13,0,1,281,324,5,77,77,4,16,0,0
313,30,8,1,0,2,308,297,5,77,77,3,26,0,0
314,47,27,1,0,0,0,17,3,3,3,2,6,1,1
315,0,309,12,0,1,0,199,22,41,41,9,30,1,1
316,307,19,1,0,1,0,1152,30,174,174,115,1,1,1
317,0,5,1,0,10,37,2039,30,3253,3253,26,30,0,0
318,0,11,2,0,1,41,2035,30,3253,3253,25,30,0,0
319,0,23,2,0,0,0,673,24,42,42,25,30,1,1
320,20,20,7,0,1,7,2069,30,3253,3253,24,30,0,0
321,204,2,1,0,1,0,1652,30,7658,7658,93,30,1,1
322,28,2890,30,0,0,0,1050,30,257,257,40,30,1,1
323,31,2,1,0,1,42,2034,30,3253,3253,23,30,0,0
324,53,25,1,0,0,1,743,30,438,438,52,30,0,1
325,152,264,7,0,2,2,98,30,41,41,11,-1,0,1
326,52,52,2,0,6,3,740,30,438,438,51,29,1,0
327,118,87,4,0,0,1,99,30,41,41,10,3,0,1
328,191,21,2,0,1,1,743,30,438,438,50,30,0,0
329,504,5,1,0,1,0,46,30,4479,4479,2,29,0,1
330,0,284,74,0,0,0,303,29,3,3,3,30,1,1
331,0,368,15,0,0,0,889,30,95,95,59,5,1,1
332,110,5,1,0,0,12,1176,12,47,47,8,6,0,1
333,0,14,5,0,0,0,189,1,31,31,8,0,0,1
334,22,2,2,0,1,171,1906,30,3252,3252,22,30,0,0
335,311,86,2,0,1,44,2032,30,3252,3252,21,12,0,0
336,4,2,1,0,0,0,677,22,7,7,46,3,0,1
337,46,16,2,0,0,0,268,30,9,9,3,0,1,1
338,259,3923,181,0,0,0,401,30,1871,1871,10,30,1,1
339,0,8,2,0,1,4,536,30,40,40,17,30,0,0
340,15,188,1,0,2,0,1,5,7,7,2,0,1,1
341,374,35,2,0,0,4,678,4,9,9,3,3,1,1
342,69,162,1,0,0,0,1446,30,550,550,39,30,1,1
343,46,43,8,0,0,0,1431,30,153,153,46,30,1,1
344,0,245,16,0,2,74,457,7,119,119,4,30,1,0
345,107,2,1,0,0,0,1075,30,172,172,614,6,1,1
346,0,47,2,0,0,0,537,30,42,42,71,30,0,1
347,150,0,1,0,0,0,655,23,699,699,13,17,1,1
348,0,39,7,0,0,0,138,26,5,5,13,14,1,1
349,0,2877,77,0,0,0,156,25,21,21,8,30,1,1
350,0,4,1,0,0,2,584,12,19,19,5,30,1,1
351,0,1,1,0,1,0,147,30,3387,3387,1,29,0,1
352,335,6,3,0,4,0,198,10,7,7,11,25,1,1
353,27,4,1,0,1,0,470,12,12,12,8,12,1,0
354,80,8,3,0,1,0,1417,30,12106,12106,83,30,0,1
355,0,24,2,0,0,0,911,16,59,59,4,30,1,1
356,34,1,1,0,0,0,1350,30,4864,4864,1053,30,0,1
357,252,6,1,0,0,0,57,30,6,6,6,0,0,0
358,78,6,2,-1,0,0,693,9,15,15,70,-1,0,1
359,0,4,1,0,0,0,1469,15,37,37,12,3,1,1
360,44,3,1,0,0,0,207,30,16,16,5,-1,0,1
361,504,2,1,0,1,1,939,30,463,463,479,30,0,1
362,0,2,1,0,0,0,207,30,16,16,5,30,1,1
363,24,8,1,0,1,2,125,30,92,92,13,30,1,1
364,10,808,9,0,2,0,1056,30,2778,2778,752,0,0,0
365,84,4,1,0,1,2,125,30,92,92,12,30,1,1
366,32,8,1,0,0,2,125,30,92,92,11,30,1,1
367,0,5,1,0,1,0,1094,30,1142,1142,18,0,0,1
368,0,2,1,0,0,0,545,30,139,139,5,29,0,1
369,606,43,1,0,0,0,463,30,41,41,35,30,1,1
370,371,32,1,0,0,0,463,30,41,41,34,30,1,1
