,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
17859,0,10,1,0,0,0,335,30,178,178,189,30,1,1
17860,213,5,2,0,3,0,1274,30,136,136,157,23,0,0
17861,305,28,1,0,3,1,60,6,68,68,14,30,1,1
17862,854,368,13,0,9,5,2003,30,40,40,39,12,1,1
17863,92,2,1,0,1,0,989,18,69,69,32,30,1,1
17864,187,2,1,0,0,0,61,6,68,68,13,30,1,1
17865,221,4,1,0,1,4,1453,30,529,529,59,30,1,0
17866,209,32,3,0,1,0,211,8,12,12,10,2,1,1
17867,235,23,1,0,0,19,1611,30,490,490,53,0,0,1
17868,228,99,7,0,1,19,821,28,1077,1077,11,0,0,1
17869,221,4,1,0,1,4,1453,30,529,529,59,30,1,1
17870,51,8,1,0,0,41,1589,30,490,490,52,-1,0,1
17871,0,49,2,0,0,49,1581,30,490,490,51,30,0,1
17872,271,2,1,0,9,77,1462,30,287,287,22,30,1,1
17873,60,21,1,0,0,55,1575,30,490,490,50,30,1,1
17874,659,2,1,0,0,0,360,7,5,5,15,30,1,1
17875,87,28,2,0,0,84,1546,30,490,490,49,28,0,1
17876,20,154,3,0,3,2,1015,30,2311,2311,321,17,1,1
17877,242,27,3,0,0,142,1488,30,490,490,48,5,1,1
17878,0,97,4,0,0,0,906,30,205,205,68,6,1,1
17879,118,1094,6,0,0,0,9,30,2,2,2,0,1,1
17880,0,4668,43,0,0,0,521,22,9,9,14,13,1,1
17881,0,8,1,0,0,2,53,7,14,14,3,1,1,1
17882,17,2,1,0,0,83,1456,30,287,287,21,0,0,1
17883,251,9,1,0,1,0,2452,30,530,530,30,30,1,1
17884,177,17,1,0,7,0,867,30,67,67,74,8,0,1
17885,13,357,4,0,0,0,660,18,20,20,2,30,1,1
17886,710,22,2,0,0,0,1563,30,615,615,50,30,1,1
17887,38,77,2,0,2,0,2452,30,530,530,29,30,1,1
17888,62,90,7,0,20,104,1087,30,398,398,57,15,0,1
17889,0,11,3,0,0,0,1689,30,1222,1222,7,0,0,0
17890,0,22,7,0,0,0,2431,30,86,86,4,30,1,1
17891,132,2,1,0,0,0,260,30,103,103,202,1,0,1
17892,257,4,1,0,10,22,1037,30,8451,8451,122,18,1,1
17893,64,3,1,0,1,20,220,20,542,542,87,30,1,1
17894,1748,259,12,0,5,8,1114,30,5744,5744,89,7,0,0
17895,50,6,1,0,0,0,192,30,81,81,10,13,1,1
17896,583,164,30,0,11,2,1554,30,1625,1625,686,6,1,1
17897,705,45,2,0,0,0,575,30,57,57,7,30,1,1
17898,0,2,1,0,1,84,1455,30,287,287,20,13,1,0
17899,87,157,1,0,6,2,750,20,46,46,16,4,1,1
17900,153,2,1,0,3,3,1131,30,1997,1997,212,30,0,1
17901,82,331,4,0,2,131,1408,30,287,287,19,-1,0,0
17902,189,23,1,0,5,0,503,30,33,33,4,30,1,1
17903,0,14,1,0,0,3,552,23,27,27,11,0,1,0
17904,84,29,3,0,0,0,1117,30,2683,2683,442,30,1,1
17905,159,1201,36,0,2,0,9,30,2,2,1,0,1,0
17906,454,2,1,0,1,15,225,20,542,542,86,29,0,1
17907,412,736,49,0,31,0,1829,30,9480,9480,787,30,1,1
17908,0,7,1,0,0,0,670,13,4,4,3,21,1,1
17909,117,152,3,0,0,0,9,30,2,2,0,1,0,1
17910,487,350,27,0,3,2,1064,30,119,119,47,6,1,1
17911,409,261,3,0,0,4,284,16,6,6,3,0,1,1
17912,241,4,1,0,5,0,239,30,1782,1782,1609,30,0,0
17913,311,149,5,0,0,11,269,22,1368,1368,9,-1,0,1
17914,0,37,9,0,0,0,469,6,40,40,6,3,1,1
17915,142,19,2,0,3,0,1086,-1,36,36,8,30,0,1
17916,1779,148,5,0,8,1,726,30,2956,2956,98,30,0,1
17917,544,2,1,0,0,2,725,30,2956,2956,97,1,0,1
17918,0,8,1,0,0,0,176,2,45,45,3,4,0,0
17919,127,31,1,0,0,0,1417,30,4532,4532,2066,-1,0,1
17920,0,46,3,0,0,0,1308,30,398,398,6,30,1,1
17921,25,37559,123,-1,0,0,180,30,39,39,1,30,1,1
17922,0,42,3,0,2,0,206,30,4,4,3,16,1,1
17923,149,58,7,0,1,0,532,30,11,11,17,30,1,1
17924,371,580,10,0,0,1,880,30,188,188,40,30,1,1
17925,0,35,3,0,7,1,1214,30,1792,1792,128,7,0,0
17926,127,207,8,0,4,3,31,2,5,5,6,1,0,1
17927,54,7,2,0,0,0,808,30,1875,1875,16,10,0,1
17928,0,125,11,0,0,0,1023,30,28,28,5,24,1,1
17929,83,1004,7,0,3,163,301,10,3,3,3,30,1,1
17930,0,5,1,0,0,0,549,24,10,10,9,30,1,1
17931,309,6,1,0,1,0,315,30,298,298,21,30,1,1
